case_id,mask_strategy,mask_intensity,seed,planner,target_granularity,support_ceiling,initial_granularity,final_granularity,reached_target,explicit_stop,correct_target_stop,correct_degrade_stop,correct_stop,ceiling_violation,cost_to_target,budget_used,steps_to_target,steps_taken,actions_taken,zero_yield_actions,overlap_waste_cost,initial_hidden_claims,recovered_claims,final_node_coverage,final_edge_coverage,final_critical_gap_count,initial_direct_over_attribution,oracle_cost_to_target,cost_regret_vs_oracle,oracle_top1_action_id,oracle_top1_action_hit,premature_stop,justified_degrade_stop,sensitivity_variant,node_coverage_semantics
C02-freebsd-provenance,random,0.2,11,project05_m2,G3_campaign,G5_named_actor,G2_tactic_intent,G3_campaign,1,0,1,0,1,0,2.0,2.0,1,1,C02-AA-003,0,0.0,2,2,1.0,1.0,0,1,2.0,0.0,C02-AA-003,1,0,0,OR_default,OR
C02-freebsd-provenance,random,0.2,11,oracle_optimal,G3_campaign,G5_named_actor,G2_tactic_intent,G3_campaign,1,0,1,0,1,0,2.0,2.0,1,1,C02-AA-003,0,0.0,2,2,1.0,1.0,0,1,2.0,0.0,C02-AA-003,1,0,0,OR_default,OR
C02-freebsd-provenance,random,0.2,23,project05_m2,G3_campaign,G5_named_actor,G3_campaign,G3_campaign,1,0,1,0,1,0,0.0,0.0,0,0,,0,0.0,2,0,0.8333,0.8,0,0,0.0,0.0,,0,0,0,OR_default,OR
C02-freebsd-provenance,random,0.2,23,oracle_optimal,G3_campaign,G5_named_actor,G3_campaign,G3_campaign,1,0,1,0,1,0,0.0,0.0,0,0,,0,0.0,2,0,0.8333,0.8,0,0,0.0,0.0,,0,0,0,OR_default,OR
C02-freebsd-provenance,random,0.2,37,project05_m2,G3_campaign,G5_named_actor,G2_tactic_intent,G2_tactic_intent,0,1,0,0,0,0,,7.0,,4,C02-AA-002|C02-AA-003|C02-AA-004|STOP,2,0.5,2,1,0.8333,0.8,1,1,2.0,,C02-AA-001,0,1,0,OR_default,OR
C02-freebsd-provenance,random,0.2,37,oracle_optimal,G3_campaign,G5_named_actor,G2_tactic_intent,G3_campaign,1,0,1,0,1,0,2.0,2.0,1,1,C02-AA-001,0,0.0,2,2,1.0,1.0,0,1,2.0,0.0,C02-AA-001,1,0,0,OR_default,OR
C02-freebsd-provenance,random,0.2,41,project05_m2,G3_campaign,G5_named_actor,G2_tactic_intent,G3_campaign,1,0,1,0,1,0,3.0,3.0,1,1,C02-AA-002,0,0.0,2,2,1.0,1.0,0,1,2.0,1.0,C02-AA-004,0,0,0,OR_default,OR
C02-freebsd-provenance,random,0.2,41,oracle_optimal,G3_campaign,G5_named_actor,G2_tactic_intent,G3_campaign,1,0,1,0,1,0,2.0,2.0,1,1,C02-AA-004,0,0.0,2,2,1.0,1.0,0,1,2.0,0.0,C02-AA-004,1,0,0,OR_default,OR
C02-freebsd-provenance,random,0.2,53,project05_m2,G3_campaign,G5_named_actor,G2_tactic_intent,G3_campaign,1,0,1,0,1,0,2.0,2.0,1,1,C02-AA-003,0,0.0,2,2,1.0,1.0,0,1,2.0,0.0,C02-AA-003,1,0,0,OR_default,OR
C02-freebsd-provenance,random,0.2,53,oracle_optimal,G3_campaign,G5_named_actor,G2_tactic_intent,G3_campaign,1,0,1,0,1,0,2.0,2.0,1,1,C02-AA-003,0,0.0,2,2,1.0,1.0,0,1,2.0,0.0,C02-AA-003,1,0,0,OR_default,OR
C02-freebsd-provenance,random,0.4,11,project05_m2,G3_campaign,G5_named_actor,G2_tactic_intent,G3_campaign,1,0,1,0,1,0,2.0,2.0,1,1,C02-AA-003,0,0.0,4,3,0.8333,0.8,0,1,2.0,0.0,C02-AA-003,1,0,0,OR_default,OR
C02-freebsd-provenance,random,0.4,11,oracle_optimal,G3_campaign,G5_named_actor,G2_tactic_intent,G3_campaign,1,0,1,0,1,0,2.0,2.0,1,1,C02-AA-003,0,0.0,4,3,0.8333,0.8,0,1,2.0,0.0,C02-AA-003,1,0,0,OR_default,OR
C02-freebsd-provenance,random,0.4,23,project05_m2,G3_campaign,G5_named_actor,G2_tactic_intent,G2_tactic_intent,0,1,0,0,0,0,,7.0,,4,C02-AA-003|C02-AA-002|C02-AA-004|STOP,2,0.5,4,2,0.8333,0.8,1,1,2.0,,C02-AA-001,0,1,0,OR_default,OR
C02-freebsd-provenance,random,0.4,23,oracle_optimal,G3_campaign,G5_named_actor,G2_tactic_intent,G3_campaign,1,0,1,0,1,0,2.0,2.0,1,1,C02-AA-001,0,0.0,4,2,0.8333,0.8,0,1,2.0,0.0,C02-AA-001,1,0,0,OR_default,OR
C02-freebsd-provenance,random,0.4,37,project05_m2,G3_campaign,G5_named_actor,G2_tactic_intent,G2_tactic_intent,0,1,0,0,0,0,,7.0,,4,C02-AA-002|C02-AA-003|C02-AA-004|STOP,2,0.5,4,3,0.8333,0.8,1,1,2.0,,C02-AA-001,0,1,0,OR_default,OR
C02-freebsd-provenance,random,0.4,37,oracle_optimal,G3_campaign,G5_named_actor,G2_tactic_intent,G3_campaign,1,0,1,0,1,0,2.0,2.0,1,1,C02-AA-001,0,0.0,4,3,1.0,1.0,0,1,2.0,0.0,C02-AA-001,1,0,0,OR_default,OR
C02-freebsd-provenance,random,0.4,41,project05_m2,G3_campaign,G5_named_actor,G2_tactic_intent,G3_campaign,1,0,1,0,1,0,5.0,5.0,2,2,C02-AA-003|C02-AA-002,1,0.0,4,3,1.0,1.0,0,1,2.0,3.0,C02-AA-004,0,0,0,OR_default,OR
C02-freebsd-provenance,random,0.4,41,oracle_optimal,G3_campaign,G5_named_actor,G2_tactic_intent,G3_campaign,1,0,1,0,1,0,2.0,2.0,1,1,C02-AA-004,0,0.0,4,2,1.0,1.0,0,1,2.0,0.0,C02-AA-004,1,0,0,OR_default,OR
C02-freebsd-provenance,random,0.4,53,project05_m2,G3_campaign,G5_named_actor,G2_tactic_intent,G3_campaign,1,0,1,0,1,0,2.0,2.0,1,1,C02-AA-003,0,0.0,4,2,0.8333,0.8,0,1,2.0,0.0,C02-AA-003,1,0,0,OR_default,OR
C02-freebsd-provenance,random,0.4,53,oracle_optimal,G3_campaign,G5_named_actor,G2_tactic_intent,G3_campaign,1,0,1,0,1,0,2.0,2.0,1,1,C02-AA-003,0,0.0,4,2,0.8333,0.8,0,1,2.0,0.0,C02-AA-003,1,0,0,OR_default,OR
C02-freebsd-provenance,random,0.6,11,project05_m2,G3_campaign,G5_named_actor,G2_tactic_intent,G3_campaign,1,0,1,0,1,0,2.0,2.0,1,1,C02-AA-003,0,0.0,6,3,0.8333,0.8,0,1,2.0,0.0,C02-AA-003,1,0,0,OR_default,OR
C02-freebsd-provenance,random,0.6,11,oracle_optimal,G3_campaign,G5_named_actor,G2_tactic_intent,G3_campaign,1,0,1,0,1,0,2.0,2.0,1,1,C02-AA-003,0,0.0,6,3,0.8333,0.8,0,1,2.0,0.0,C02-AA-003,1,0,0,OR_default,OR
C02-freebsd-provenance,random,0.6,23,project05_m2,G3_campaign,G5_named_actor,G1_technique,G2_tactic_intent,0,1,0,0,0,0,,7.0,,4,C02-AA-003|C02-AA-002|C02-AA-004|STOP,2,0.5,6,3,0.6667,0.4,2,1,7.0,,C02-AA-001,0,1,0,OR_default,OR
C02-freebsd-provenance,random,0.6,23,oracle_optimal,G3_campaign,G5_named_actor,G1_technique,G3_campaign,1,0,1,0,1,0,7.0,7.0,2,2,C02-AA-001|C02-AA-006,0,0.0,6,4,0.8333,0.8,0,1,7.0,0.0,C02-AA-001,1,0,0,OR_default,OR
C02-freebsd-provenance,random,0.6,37,project05_m2,G3_campaign,G5_named_actor,G2_tactic_intent,G2_tactic_intent,0,1,0,0,0,0,,7.0,,4,C02-AA-003|C02-AA-002|C02-AA-004|STOP,1,0.5,6,5,0.8333,0.8,1,1,4.0,,C02-AA-001,0,1,0,OR_default,OR
C02-freebsd-provenance,random,0.6,37,oracle_optimal,G3_campaign,G5_named_actor,G2_tactic_intent,G3_campaign,1,0,1,0,1,0,4.0,4.0,2,2,C02-AA-001|C02-AA-003,0,0.0,6,5,1.0,1.0,0,1,4.0,0.0,C02-AA-001,1,0,0,OR_default,OR
C02-freebsd-provenance,random,0.6,41,project05_m2,G3_campaign,G5_named_actor,G2_tactic_intent,G2_tactic_intent,0,1,0,1,1,0,,7.0,,4,C02-AA-003|C02-AA-002|C02-AA-004|STOP,2,0.5,6,4,0.8333,0.6,1,1,,,C02-AA-002,0,0,1,OR_default,OR
C02-freebsd-provenance,random,0.6,41,oracle_optimal,G3_campaign,G5_named_actor,G2_tactic_intent,G2_tactic_intent,0,1,0,1,1,0,,3.0,,2,C02-AA-002|STOP,0,0.0,6,4,0.8333,0.6,1,1,,,C02-AA-002,1,0,1,OR_default,OR
C02-freebsd-provenance,random,0.6,53,project05_m2,G3_campaign,G5_named_actor,G2_tactic_intent,G3_campaign,1,0,1,0,1,0,2.0,2.0,1,1,C02-AA-003,0,0.0,6,3,0.8333,0.8,0,1,2.0,0.0,C02-AA-003,1,0,0,OR_default,OR
C02-freebsd-provenance,random,0.6,53,oracle_optimal,G3_campaign,G5_named_actor,G2_tactic_intent,G3_campaign,1,0,1,0,1,0,2.0,2.0,1,1,C02-AA-003,0,0.0,6,3,0.8333,0.8,0,1,2.0,0.0,C02-AA-003,1,0,0,OR_default,OR
C02-freebsd-provenance,stage,0.2,11,project05_m2,G3_campaign,G5_named_actor,G3_campaign,G3_campaign,1,0,1,0,1,0,0.0,0.0,0,0,,0,0.0,2,0,1.0,1.0,0,0,0.0,0.0,,0,0,0,OR_default,OR
C02-freebsd-provenance,stage,0.2,11,oracle_optimal,G3_campaign,G5_named_actor,G3_campaign,G3_campaign,1,0,1,0,1,0,0.0,0.0,0,0,,0,0.0,2,0,1.0,1.0,0,0,0.0,0.0,,0,0,0,OR_default,OR
C02-freebsd-provenance,stage,0.2,23,project05_m2,G3_campaign,G5_named_actor,G3_campaign,G3_campaign,1,0,1,0,1,0,0.0,0.0,0,0,,0,0.0,2,0,1.0,1.0,0,0,0.0,0.0,,0,0,0,OR_default,OR
C02-freebsd-provenance,stage,0.2,23,oracle_optimal,G3_campaign,G5_named_actor,G3_campaign,G3_campaign,1,0,1,0,1,0,0.0,0.0,0,0,,0,0.0,2,0,1.0,1.0,0,0,0.0,0.0,,0,0,0,OR_default,OR
C02-freebsd-provenance,stage,0.2,37,project05_m2,G3_campaign,G5_named_actor,G3_campaign,G3_campaign,1,0,1,0,1,0,0.0,0.0,0,0,,0,0.0,2,0,1.0,1.0,0,0,0.0,0.0,,0,0,0,OR_default,OR
C02-freebsd-provenance,stage,0.2,37,oracle_optimal,G3_campaign,G5_named_actor,G3_campaign,G3_campaign,1,0,1,0,1,0,0.0,0.0,0,0,,0,0.0,2,0,1.0,1.0,0,0,0.0,0.0,,0,0,0,OR_default,OR
C02-freebsd-provenance,stage,0.2,41,project05_m2,G3_campaign,G5_named_actor,G3_campaign,G3_campaign,1,0,1,0,1,0,0.0,0.0,0,0,,0,0.0,2,0,1.0,1.0,0,0,0.0,0.0,,0,0,0,OR_default,OR
C02-freebsd-provenance,stage,0.2,41,oracle_optimal,G3_campaign,G5_named_actor,G3_campaign,G3_campaign,1,0,1,0,1,0,0.0,0.0,0,0,,0,0.0,2,0,1.0,1.0,0,0,0.0,0.0,,0,0,0,OR_default,OR
C02-freebsd-provenance,stage,0.2,53,project05_m2,G3_campaign,G5_named_actor,G3_campaign,G3_campaign,1,0,1,0,1,0,0.0,0.0,0,0,,0,0.0,2,0,1.0,1.0,0,0,0.0,0.0,,0,0,0,OR_default,OR
C02-freebsd-provenance,stage,0.2,53,oracle_optimal,G3_campaign,G5_named_actor,G3_campaign,G3_campaign,1,0,1,0,1,0,0.0,0.0,0,0,,0,0.0,2,0,1.0,1.0,0,0,0.0,0.0,,0,0,0,OR_default,OR
C02-freebsd-provenance,stage,0.4,11,project05_m2,G3_campaign,G5_named_actor,G2_tactic_intent,G3_campaign,1,0,1,0,1,0,5.0,5.0,2,2,C02-AA-003|C02-AA-002,0,0.0,4,4,1.0,1.0,0,1,4.0,1.0,C02-AA-003,1,0,0,OR_default,OR
C02-freebsd-provenance,stage,0.4,11,oracle_optimal,G3_campaign,G5_named_actor,G2_tactic_intent,G3_campaign,1,0,1,0,1,0,4.0,4.0,2,2,C02-AA-003|C02-AA-004,0,0.0,4,4,1.0,1.0,0,1,4.0,0.0,C02-AA-003,1,0,0,OR_default,OR
C02-freebsd-provenance,stage,0.4,23,project05_m2,G3_campaign,G5_named_actor,G2_tactic_intent,G2_tactic_intent,0,1,0,0,0,0,,7.0,,4,C02-AA-003|C02-AA-002|C02-AA-004|STOP,2,0.5,4,2,0.8333,0.8,1,1,5.0,,C02-AA-004,0,1,0,OR_default,OR
C02-freebsd-provenance,stage,0.4,23,oracle_optimal,G3_campaign,G5_named_actor,G2_tactic_intent,G3_campaign,1,0,1,0,1,0,5.0,5.0,2,2,C02-AA-004|C02-AA-007,0,0.375,4,3,1.0,1.0,0,1,5.0,0.0,C02-AA-004,1,0,0,OR_default,OR
C02-freebsd-provenance,stage,0.4,37,project05_m2,G3_campaign,G5_named_actor,G2_tactic_intent,G3_campaign,1,0,1,0,1,0,5.0,5.0,2,2,C02-AA-003|C02-AA-002,0,0.0,4,4,1.0,1.0,0,1,4.0,1.0,C02-AA-003,1,0,0,OR_default,OR
C02-freebsd-provenance,stage,0.4,37,oracle_optimal,G3_campaign,G5_named_actor,G2_tactic_intent,G3_campaign,1,0,1,0,1,0,4.0,4.0,2,2,C02-AA-003|C02-AA-004,0,0.0,4,4,1.0,1.0,0,1,4.0,0.0,C02-AA-003,1,0,0,OR_default,OR
C02-freebsd-provenance,stage,0.4,41,project05_m2,G3_campaign,G5_named_actor,G2_tactic_intent,G2_tactic_intent,0,1,0,0,0,0,,7.0,,4,C02-AA-003|C02-AA-002|C02-AA-004|STOP,2,0.5,4,2,0.8333,0.8,1,1,5.0,,C02-AA-004,0,1,0,OR_default,OR
C02-freebsd-provenance,stage,0.4,41,oracle_optimal,G3_campaign,G5_named_actor,G2_tactic_intent,G3_campaign,1,0,1,0,1,0,5.0,5.0,2,2,C02-AA-004|C02-AA-007,0,0.375,4,3,1.0,1.0,0,1,5.0,0.0,C02-AA-004,1,0,0,OR_default,OR
C02-freebsd-provenance,stage,0.4,53,project05_m2,G3_campaign,G5_named_actor,G2_tactic_intent,G3_campaign,1,0,1,0,1,0,5.0,5.0,2,2,C02-AA-003|C02-AA-002,0,0.0,4,4,1.0,1.0,0,1,4.0,1.0,C02-AA-003,1,0,0,OR_default,OR
C02-freebsd-provenance,stage,0.4,53,oracle_optimal,G3_campaign,G5_named_actor,G2_tactic_intent,G3_campaign,1,0,1,0,1,0,4.0,4.0,2,2,C02-AA-003|C02-AA-004,0,0.0,4,4,1.0,1.0,0,1,4.0,0.0,C02-AA-003,1,0,0,OR_default,OR
C02-freebsd-provenance,stage,0.6,11,project05_m2,G3_campaign,G5_named_actor,G1_technique,G3_campaign,1,0,1,0,1,0,5.0,5.0,2,2,C02-AA-003|C02-AA-002,0,0.0,6,6,1.0,1.0,0,1,4.0,1.0,C02-AA-003,1,0,0,OR_default,OR
C02-freebsd-provenance,stage,0.6,11,oracle_optimal,G3_campaign,G5_named_actor,G1_technique,G3_campaign,1,0,1,0,1,0,4.0,4.0,2,2,C02-AA-003|C02-AA-004,0,0.0,6,5,0.8333,0.8,0,1,4.0,0.0,C02-AA-003,1,0,0,OR_default,OR
C02-freebsd-provenance,stage,0.6,23,project05_m2,G3_campaign,G5_named_actor,G2_tactic_intent,G2_tactic_intent,0,1,0,1,1,0,,7.0,,4,C02-AA-003|C02-AA-002|C02-AA-004|STOP,2,0.5,6,3,0.6667,0.4,2,1,,,C02-AA-002,0,0,1,OR_default,OR
C02-freebsd-provenance,stage,0.6,23,oracle_optimal,G3_campaign,G5_named_actor,G2_tactic_intent,G2_tactic_intent,0,1,0,1,1,0,,6.0,,3,C02-AA-002|C02-AA-007|STOP,0,0.8571,6,4,0.8333,0.6,1,1,,,C02-AA-002,1,0,1,OR_default,OR
C02-freebsd-provenance,stage,0.6,37,project05_m2,G3_campaign,G5_named_actor,G1_technique,G2_tactic_intent,0,1,0,0,0,0,,7.0,,4,C02-AA-003|C02-AA-002|C02-AA-004|STOP,1,0.5,6,5,0.8333,0.8,1,1,6.0,,C02-AA-001,0,1,0,OR_default,OR
C02-freebsd-provenance,stage,0.6,37,oracle_optimal,G3_campaign,G5_named_actor,G1_technique,G3_campaign,1,0,1,0,1,0,6.0,6.0,3,3,C02-AA-001|C02-AA-003|C02-AA-004,0,0.5,6,6,1.0,1.0,0,1,6.0,0.0,C02-AA-001,1,0,0,OR_default,OR
C02-freebsd-provenance,stage,0.6,41,project05_m2,G3_campaign,G5_named_actor,G1_technique,G2_tactic_intent,0,1,0,1,1,0,,7.0,,4,C02-AA-003|C02-AA-002|C02-AA-004|STOP,2,0.5,6,3,0.6667,0.4,2,1,,,C02-AA-002,0,0,1,OR_default,OR
C02-freebsd-provenance,stage,0.6,41,oracle_optimal,G3_campaign,G5_named_actor,G1_technique,G2_tactic_intent,0,1,0,1,1,0,,6.0,,3,C02-AA-002|C02-AA-007|STOP,0,0.8571,6,4,0.8333,0.6,1,1,,,C02-AA-002,1,0,1,OR_default,OR
C02-freebsd-provenance,stage,0.6,53,project05_m2,G3_campaign,G5_named_actor,G2_tactic_intent,G3_campaign,1,0,1,0,1,0,5.0,5.0,2,2,C02-AA-003|C02-AA-002,0,0.0,6,6,1.0,1.0,0,1,4.0,1.0,C02-AA-003,1,0,0,OR_default,OR
C02-freebsd-provenance,stage,0.6,53,oracle_optimal,G3_campaign,G5_named_actor,G2_tactic_intent,G3_campaign,1,0,1,0,1,0,4.0,4.0,2,2,C02-AA-003|C02-AA-004,0,0.0,6,5,1.0,1.0,0,1,4.0,0.0,C02-AA-003,1,0,0,OR_default,OR
C02-freebsd-provenance,discriminative,0.2,11,project05_m2,G3_campaign,G5_named_actor,G3_campaign,G3_campaign,1,0,1,0,1,0,0.0,0.0,0,0,,0,0.0,2,0,1.0,1.0,0,0,0.0,0.0,,0,0,0,OR_default,OR
C02-freebsd-provenance,discriminative,0.2,11,oracle_optimal,G3_campaign,G5_named_actor,G3_campaign,G3_campaign,1,0,1,0,1,0,0.0,0.0,0,0,,0,0.0,2,0,1.0,1.0,0,0,0.0,0.0,,0,0,0,OR_default,OR
C02-freebsd-provenance,discriminative,0.2,23,project05_m2,G3_campaign,G5_named_actor,G3_campaign,G3_campaign,1,0,1,0,1,0,0.0,0.0,0,0,,0,0.0,2,0,1.0,1.0,0,0,0.0,0.0,,0,0,0,OR_default,OR
C02-freebsd-provenance,discriminative,0.2,23,oracle_optimal,G3_campaign,G5_named_actor,G3_campaign,G3_campaign,1,0,1,0,1,0,0.0,0.0,0,0,,0,0.0,2,0,1.0,1.0,0,0,0.0,0.0,,0,0,0,OR_default,OR
C02-freebsd-provenance,discriminative,0.2,37,project05_m2,G3_campaign,G5_named_actor,G3_campaign,G3_campaign,1,0,1,0,1,0,0.0,0.0,0,0,,0,0.0,2,0,1.0,1.0,0,0,0.0,0.0,,0,0,0,OR_default,OR
C02-freebsd-provenance,discriminative,0.2,37,oracle_optimal,G3_campaign,G5_named_actor,G3_campaign,G3_campaign,1,0,1,0,1,0,0.0,0.0,0,0,,0,0.0,2,0,1.0,1.0,0,0,0.0,0.0,,0,0,0,OR_default,OR
C02-freebsd-provenance,discriminative,0.2,41,project05_m2,G3_campaign,G5_named_actor,G3_campaign,G3_campaign,1,0,1,0,1,0,0.0,0.0,0,0,,0,0.0,2,0,1.0,1.0,0,0,0.0,0.0,,0,0,0,OR_default,OR
C02-freebsd-provenance,discriminative,0.2,41,oracle_optimal,G3_campaign,G5_named_actor,G3_campaign,G3_campaign,1,0,1,0,1,0,0.0,0.0,0,0,,0,0.0,2,0,1.0,1.0,0,0,0.0,0.0,,0,0,0,OR_default,OR
C02-freebsd-provenance,discriminative,0.2,53,project05_m2,G3_campaign,G5_named_actor,G3_campaign,G3_campaign,1,0,1,0,1,0,0.0,0.0,0,0,,0,0.0,2,0,1.0,1.0,0,0,0.0,0.0,,0,0,0,OR_default,OR
C02-freebsd-provenance,discriminative,0.2,53,oracle_optimal,G3_campaign,G5_named_actor,G3_campaign,G3_campaign,1,0,1,0,1,0,0.0,0.0,0,0,,0,0.0,2,0,1.0,1.0,0,0,0.0,0.0,,0,0,0,OR_default,OR
C02-freebsd-provenance,discriminative,0.4,11,project05_m2,G3_campaign,G5_named_actor,G2_tactic_intent,G3_campaign,1,0,1,0,1,0,2.0,2.0,1,1,C02-AA-003,0,0.0,4,2,1.0,1.0,0,1,2.0,0.0,C02-AA-003,1,0,0,OR_default,OR
C02-freebsd-provenance,discriminative,0.4,11,oracle_optimal,G3_campaign,G5_named_actor,G2_tactic_intent,G3_campaign,1,0,1,0,1,0,2.0,2.0,1,1,C02-AA-003,0,0.0,4,2,1.0,1.0,0,1,2.0,0.0,C02-AA-003,1,0,0,OR_default,OR
C02-freebsd-provenance,discriminative,0.4,23,project05_m2,G3_campaign,G5_named_actor,G2_tactic_intent,G2_tactic_intent,0,1,0,0,0,0,,7.0,,4,C02-AA-003|C02-AA-002|C02-AA-004|STOP,2,0.5,4,2,0.8333,0.8,1,1,3.0,,C02-AA-007,0,1,0,OR_default,OR
C02-freebsd-provenance,discriminative,0.4,23,oracle_optimal,G3_campaign,G5_named_actor,G2_tactic_intent,G3_campaign,1,0,1,0,1,0,3.0,3.0,1,1,C02-AA-007,0,0.0,4,1,1.0,1.0,0,1,3.0,0.0,C02-AA-007,1,0,0,OR_default,OR
C02-freebsd-provenance,discriminative,0.4,37,project05_m2,G3_campaign,G5_named_actor,G2_tactic_intent,G3_campaign,1,0,1,0,1,0,2.0,2.0,1,1,C02-AA-003,0,0.0,4,2,1.0,1.0,0,1,2.0,0.0,C02-AA-003,1,0,0,OR_default,OR
C02-freebsd-provenance,discriminative,0.4,37,oracle_optimal,G3_campaign,G5_named_actor,G2_tactic_intent,G3_campaign,1,0,1,0,1,0,2.0,2.0,1,1,C02-AA-003,0,0.0,4,2,1.0,1.0,0,1,2.0,0.0,C02-AA-003,1,0,0,OR_default,OR
C02-freebsd-provenance,discriminative,0.4,41,project05_m2,G3_campaign,G5_named_actor,G2_tactic_intent,G2_tactic_intent,0,1,0,0,0,0,,7.0,,4,C02-AA-003|C02-AA-002|C02-AA-004|STOP,2,0.5,4,2,0.8333,0.8,1,1,3.0,,C02-AA-007,0,1,0,OR_default,OR
C02-freebsd-provenance,discriminative,0.4,41,oracle_optimal,G3_campaign,G5_named_actor,G2_tactic_intent,G3_campaign,1,0,1,0,1,0,3.0,3.0,1,1,C02-AA-007,0,0.0,4,1,1.0,1.0,0,1,3.0,0.0,C02-AA-007,1,0,0,OR_default,OR
C02-freebsd-provenance,discriminative,0.4,53,project05_m2,G3_campaign,G5_named_actor,G2_tactic_intent,G3_campaign,1,0,1,0,1,0,2.0,2.0,1,1,C02-AA-003,0,0.0,4,2,1.0,1.0,0,1,2.0,0.0,C02-AA-003,1,0,0,OR_default,OR
C02-freebsd-provenance,discriminative,0.4,53,oracle_optimal,G3_campaign,G5_named_actor,G2_tactic_intent,G3_campaign,1,0,1,0,1,0,2.0,2.0,1,1,C02-AA-003,0,0.0,4,2,1.0,1.0,0,1,2.0,0.0,C02-AA-003,1,0,0,OR_default,OR
C02-freebsd-provenance,discriminative,0.6,11,project05_m2,G3_campaign,G5_named_actor,G2_tactic_intent,G3_campaign,1,0,1,0,1,0,5.0,5.0,2,2,C02-AA-003|C02-AA-002,0,0.0,6,6,1.0,1.0,0,1,4.0,1.0,C02-AA-003,1,0,0,OR_default,OR
C02-freebsd-provenance,discriminative,0.6,11,oracle_optimal,G3_campaign,G5_named_actor,G2_tactic_intent,G3_campaign,1,0,1,0,1,0,4.0,4.0,2,2,C02-AA-003|C02-AA-004,0,0.0,6,5,1.0,1.0,0,1,4.0,0.0,C02-AA-003,1,0,0,OR_default,OR
C02-freebsd-provenance,discriminative,0.6,23,project05_m2,G3_campaign,G5_named_actor,G2_tactic_intent,G2_tactic_intent,0,1,0,0,0,0,,7.0,,4,C02-AA-003|C02-AA-002|C02-AA-004|STOP,2,0.5,6,3,0.6667,0.6,2,1,5.0,,C02-AA-001,0,1,0,OR_default,OR
C02-freebsd-provenance,discriminative,0.6,23,oracle_optimal,G3_campaign,G5_named_actor,G2_tactic_intent,G3_campaign,1,0,1,0,1,0,5.0,5.0,2,2,C02-AA-001|C02-AA-007,0,0.375,6,3,0.8333,0.8,0,1,5.0,0.0,C02-AA-001,1,0,0,OR_default,OR
C02-freebsd-provenance,discriminative,0.6,37,project05_m2,G3_campaign,G5_named_actor,G2_tactic_intent,G2_tactic_intent,0,1,0,0,0,0,,7.0,,4,C02-AA-003|C02-AA-002|C02-AA-004|STOP,1,0.5,6,5,0.8333,0.8,1,1,4.0,,C02-AA-001,0,1,0,OR_default,OR
C02-freebsd-provenance,discriminative,0.6,37,oracle_optimal,G3_campaign,G5_named_actor,G2_tactic_intent,G3_campaign,1,0,1,0,1,0,4.0,4.0,2,2,C02-AA-001|C02-AA-003,0,0.0,6,5,1.0,1.0,0,1,4.0,0.0,C02-AA-001,1,0,0,OR_default,OR
C02-freebsd-provenance,discriminative,0.6,41,project05_m2,G3_campaign,G5_named_actor,G2_tactic_intent,G2_tactic_intent,0,1,0,0,0,0,,7.0,,4,C02-AA-003|C02-AA-002|C02-AA-004|STOP,2,0.5,6,4,0.8333,0.8,1,1,5.0,,C02-AA-004,0,1,0,OR_default,OR
C02-freebsd-provenance,discriminative,0.6,41,oracle_optimal,G3_campaign,G5_named_actor,G2_tactic_intent,G3_campaign,1,0,1,0,1,0,5.0,5.0,2,2,C02-AA-004|C02-AA-007,0,0.375,6,3,0.8333,0.8,0,1,5.0,0.0,C02-AA-004,1,0,0,OR_default,OR
C02-freebsd-provenance,discriminative,0.6,53,project05_m2,G3_campaign,G5_named_actor,G2_tactic_intent,G3_campaign,1,0,1,0,1,0,5.0,5.0,2,2,C02-AA-003|C02-AA-002,0,0.0,6,6,1.0,1.0,0,1,4.0,1.0,C02-AA-001,0,0,0,OR_default,OR
C02-freebsd-provenance,discriminative,0.6,53,oracle_optimal,G3_campaign,G5_named_actor,G2_tactic_intent,G3_campaign,1,0,1,0,1,0,4.0,4.0,2,2,C02-AA-001|C02-AA-003,0,0.0,6,5,1.0,1.0,0,1,4.0,0.0,C02-AA-001,1,0,0,OR_default,OR
C03-windows-host,random,0.2,11,project05_m2,G3_campaign,G5_named_actor,G2_tactic_intent,G3_campaign,1,0,1,0,1,0,8.0,8.0,3,3,C03-AA-003|C03-AA-002|C03-AA-006,1,1.2857,2,2,1.0,1.0,0,1,3.0,5.0,C03-AA-006,0,0,0,OR_default,OR
C03-windows-host,random,0.2,11,oracle_optimal,G3_campaign,G5_named_actor,G2_tactic_intent,G3_campaign,1,0,1,0,1,0,3.0,3.0,1,1,C03-AA-006,0,0.0,2,2,1.0,1.0,0,1,3.0,0.0,C03-AA-006,1,0,0,OR_default,OR
C03-windows-host,random,0.2,23,project05_m2,G3_campaign,G5_named_actor,G2_tactic_intent,G3_campaign,1,0,1,0,1,0,5.0,5.0,2,2,C03-AA-003|C03-AA-002,1,0.0,2,1,1.0,1.0,0,1,2.0,3.0,C03-AA-001,0,0,0,OR_default,OR
C03-windows-host,random,0.2,23,oracle_optimal,G3_campaign,G5_named_actor,G2_tactic_intent,G3_campaign,1,0,1,0,1,0,2.0,2.0,1,1,C03-AA-001,0,0.0,2,1,1.0,1.0,0,1,2.0,0.0,C03-AA-001,1,0,0,OR_default,OR
